Word,CEFR,Definition,Synonyms
abc,C1,the elementary stages of any subject (usually plural),"first_principle, alphabet, ABC's, rudiment, first_rudiment"
abcess,C2,,
abcissa,C2,,
abcs,C1,the elementary stages of any subject (usually plural),"first_principle, alphabet, ABC's, ABC, rudiment"
abd,C2,,
abdal,C2,,
abdali,C2,,
abdel,C2,,
abdias,C2,a Hebrew minor prophet,"Obadiah, Book_of_Obadiah"
abdicate,C2,"give up, such as power, as of monarchs and emperors, or duties and obligations",renounce
abdicated,C2,"give up, such as power, as of monarchs and emperors, or duties and obligations","abdicate, renounce"
abdicates,C2,"give up, such as power, as of monarchs and emperors, or duties and obligations","abdicate, renounce"
abdicating,C2,"give up, such as power, as of monarchs and emperors, or duties and obligations","abdicate, renounce"
abdication,C2,a formal resignation and renunciation of powers,stepping_down
abdications,C2,a formal resignation and renunciation of powers,"stepping_down, abdication"
abdiel,C2,,
abdom,C2,,
abdomen,C2,the region of the body of a vertebrate between the thorax and the pelvis,"stomach, belly, abdominal_cavity, venter"
abdomens,B2,the region of the body of a vertebrate between the thorax and the pelvis,"belly, stomach, venter, abdomen, abdominal_cavity"
abdominal,C1,the muscles of the abdomen,"abdominal_muscle, ab"
abdominally,C2,,
abdominals,B2,the muscles of the abdomen,"abdominal_muscle, ab, abdominal"
abdon,C2,,
abducens,C2,a small motor nerve supplying the lateral rectus muscle of the eye,"abducens_nerve, nervus_abducens, abducent, abducent_nerve, sixth_cranial_nerve"
abducent,C2,a small motor nerve supplying the lateral rectus muscle of the eye,"abducting, abducens_nerve, nervus_abducens, abducent_nerve, sixth_cranial_nerve"
abduct,C2,take away to an undisclosed location against their will and usually in order to extract a ransom,"kidnap, nobble, snatch"
abducted,C2,take away to an undisclosed location against their will and usually in order to extract a ransom,"abduct, kidnap, nobble, snatch"
abducting,C2,take away to an undisclosed location against their will and usually in order to extract a ransom,"kidnap, snatch, abducent, abduct, nobble"
abduction,C2,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife,
abductions,C2,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife,abduction
abductor,C2,someone who unlawfully seizes and detains a victim (usually for ransom),"snatcher, kidnaper, kidnapper, abductor_muscle"
abductors,C2,someone who unlawfully seizes and detains a victim (usually for ransom),"snatcher, abductor, kidnaper, kidnapper, abductor_muscle"
abducts,C2,take away to an undisclosed location against their will and usually in order to extract a ransom,"abduct, kidnap, nobble, snatch"
abdul,C2,,
abdulla,C2,,
abe,C2,,
abeam,C2,at right angles to the length of a ship or airplane,
abecedarian,C2,a novice learning the rudiments of some subject,
abed,C2,in bed,
abednego,C2,,
abel,C2,Norwegian mathematician (1802-1829),"Niels_Abel, Niels_Henrik_Abel"
abelard,C2,French philosopher and theologian; lover of Heloise (1079-1142),"Pierre_Abelard, Peter_Abelard"
abele,C2,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,"white_poplar, white_aspen, silver-leaved_poplar, Populus_alba, aspen_poplar"
abeles,C2,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,"abele, white_poplar, white_aspen, silver-leaved_poplar, Populus_alba"
abelia,C2,any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico,
abelian,C2,,
abell,C2,,
abelmoschus,C2,genus of tropical coarse herbs having large lobed leaves and often yellow flowers,genus_Abelmoschus
abelson,C2,,
abencerrages,C2,,
abend,C2,,
abends,C2,,
abercrombie,C2,,
aberdare,C2,a mining town in southern Wales,
aberdeen,C2,a town in western Washington,
aberdonian,C2,of or relating to Aberdeen,
abernathy,C2,,
abernethy,C2,,
aberrance,C2,a state or condition markedly different from the norm,"aberration, deviance, aberrancy"
aberrancy,C2,a state or condition markedly different from the norm,"aberrance, deviance, aberration"
aberrant,C2,one whose behavior departs substantially from the norm of a group,"deviate, deviant"
aberrantly,C2,,
aberrants,C2,one whose behavior departs substantially from the norm of a group,aberrant
aberrated,C2,diverge from the expected,aberrate
aberration,C2,a state or condition markedly different from the norm,"deviance, optical_aberration, aberrancy, aberrance, distortion"
aberrational,C2,,
aberrations,C2,a state or condition markedly different from the norm,"aberration, deviance, optical_aberration, aberrancy, aberrance"
abet,C2,"assist or encourage, usually in some wrongdoing",
abetment,C2,the verbal act of urging on,"abettal, instigation"
abets,C2,"assist or encourage, usually in some wrongdoing",abet
abetted,C2,"assist or encourage, usually in some wrongdoing",abet
abetter,C2,one who helps or encourages or incites another,abettor
abetting,C2,"assist or encourage, usually in some wrongdoing",abet
abettor,C2,one who helps or encourages or incites another,abetter
abettors,C2,one who helps or encourages or incites another,"abettor, abetter"
abey,C2,,
abeyance,C2,temporary cessation or suspension,suspension
abhinaya,C2,,
abhominable,C2,,
abhor,C2,find repugnant,"abominate, execrate, loathe"
abhorred,C2,find repugnant,"abominate, execrate, abhor, loathe"
abhorrence,C2,hate coupled with disgust,"execration, odium, loathing, detestation, abomination"
abhorrent,C2,offensive to the mind,"repulsive, obscene, detestable, repugnant"
abhorring,C2,find repugnant,"abominate, execrate, abhor, loathe"
abhors,C2,find repugnant,"abominate, execrate, abhor, loathe"
abi,C2,,
abia,C2,,
abiathar,C2,,
abib,C2,,
abidance,C2,acting according to certain accepted standards,"compliance, conformation, residence, residency, conformity"
abide,C2,dwell,"stick_out, stand, digest, endure, put_up"
abided,C2,dwell,"stick_out, stand, digest, endure, put_up"
abides,C2,dwell,"stick_out, stand, digest, endure, put_up"
abidi,C2,,
abiding,C2,dwell,"stick_out, stand, digest, endure, put_up"
abidingly,C2,,
abidingness,C2,,
abidjan,C2,city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast,
abie,C2,,
abies,C2,true firs,"atone, abye, expiate, genus_Abies, aby"
abietate,C2,,
abietic,C2,,
abietineae,C2,,
abiezer,C2,,
abigail,C2,,
abihu,C2,,
abijah,C2,,
abilene,C2,a city in central Texas,
abilities,A2,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,"ability, power"
ability,A2,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,power
abimelech,C2,,
abington,C2,,
abinoam,C2,,
abiogenesis,C2,a hypothetical organic phenomenon by which living organisms are created from nonliving matter,"autogenesis, autogeny, spontaneous_generation"
abiological,C2,,
abiotic,C2,,
abiotically,C2,,
abiotrophy,C2,a loss of vitality and a degeneration of cells and tissues not due to any apparent injury,
abir,C2,,
abishag,C2,,
abit,C2,,
abitibi,C2,,
abject,C2,of the most contemptible kind,"low, miserable, unhopeful, scummy, scurvy"
abjection,C2,a low or downcast state; - H.L.Menchken,"degradation, abasement"
abjectly,C2,in a hopeless resigned manner,resignedly
abjectness,C2,,
abjuration,C2,a disavowal or taking back of a previous assertion,"retraction, recantation"
abjure,C2,"formally reject or disavow a formerly held belief, usually under pressure","retract, forswear, recant, resile"
abjured,C2,"formally reject or disavow a formerly held belief, usually under pressure","abjure, recant, resile, retract, forswear"
abjures,C2,"formally reject or disavow a formerly held belief, usually under pressure","abjure, recant, resile, retract, forswear"
abjuring,C2,"formally reject or disavow a formerly held belief, usually under pressure","abjure, recant, resile, retract, forswear"
abkari,C2,,
abkhaz,C2,a member of the Circassian people who live to the east of the Black Sea,"Abkhasian, Abkhazia, Abkhazian, Abkhas"
abkhazia,C2,an autonomous province of Georgia on the Black Sea; a strong independence movement has resulted in much instability,Abkhaz
abkhazian,C2,a member of the Circassian people who live to the east of the Black Sea,"Abkhaz, Abkhasian, Abkhas"
abl,C2,,
ablate,C2,wear away through erosion or vaporization,
ablated,C2,wear away through erosion or vaporization,ablate
ablates,C2,wear away through erosion or vaporization,ablate
ablating,C2,wear away through erosion or vaporization,ablate
ablation,C2,surgical removal of a body part or tissue,"extirpation, excision, cutting_out"
ablations,C2,surgical removal of a body part or tissue,"extirpation, excision, cutting_out, ablation"
ablative,C2,the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb,ablative_case
ablatives,C2,the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb,"ablative_case, ablative"
ablator,C2,,
ablaut,C2,a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song),
ablaze,C2,keenly excited (especially sexually) or indicating excitement; - Bram Stoker,"afire, aflame, aroused, aflare, alight"
able,B1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,capable
ableness,C2,,
abler,B1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,"able, capable"
ables,B1,,
ablest,B1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,"able, capable"
abloom,C2,bursting into flower,efflorescent
ablow,C2,,
ablution,C2,the ritual washing of a priest's hands or of sacred vessels,
ablutions,C2,the ritual washing of a priest's hands or of sacred vessels,ablution
ably,C2,with competence; in a competent capable manner,"capably, aptly, competently"
abm,C2,a defensive missile designed to shoot down incoming intercontinental ballistic missiles,antiballistic_missile
abn,C2,,
abnaki,C2,a member of the Algonquian people of Maine and southern Quebec,Abenaki
abnegate,C2,"deny oneself (something); restrain, especially from indulging in some pleasure",deny
abnegating,C2,"deny oneself (something); restrain, especially from indulging in some pleasure","abnegate, deny"
abnegation,C2,the denial and rejection of a doctrine or belief,"denial, self-abnegation, self-renunciation, self-denial"
abner,C2,,
abnormal,B1,not normal; not typical or usual or regular or conforming to a norm,unnatural
abnormalities,C2,an abnormal physical condition resulting from defective genes or developmental deficiencies,"abnormality, abnormalcy, mental_defectiveness, freakishness"
abnormality,C2,an abnormal physical condition resulting from defective genes or developmental deficiencies,"freakishness, abnormalcy, mental_defectiveness"
abnormally,B2,in an abnormal manner,
abnormals,B1,,
abnormity,C2,,
abo,C2,a dark-skinned member of a race of people living in Australia when Europeans arrived,"Australian_Aborigine, Aboriginal, native_Australian, Aborigine"
aboard,B1,"on a ship, train, plane or other vehicle","alongside, on_board, on_base"
abodah,C2,,
abode,C2,any address at which you dwell more than temporarily,"abide, residence, bide, home, habitation"
abodes,C2,any address at which you dwell more than temporarily,"abode, residence, home, habitation, domicile"
abody,C2,,
abogado,C2,,
abogados,C2,,
abolish,B2,do away with,get_rid_of
abolished,B2,do away with,"abolish, get_rid_of"
abolishes,B2,do away with,"abolish, get_rid_of"
abolishing,B2,do away with,"abolish, get_rid_of"
abolishment,B2,the act of abolishing a system or practice or institution (especially abolishing slavery),abolition
abolition,C2,the act of abolishing a system or practice or institution (especially abolishing slavery),abolishment
abolitionism,C1,the doctrine that calls for the abolition of slavery,
abolitionist,C2,a reformer who favors abolishing slavery,emancipationist
abolitionists,C2,a reformer who favors abolishing slavery,"abolitionist, emancipationist"
abolitions,C1,the act of abolishing a system or practice or institution (especially abolishing slavery),"abolishment, abolition"
abomasal,C2,relating to the abomasum (the fourth compartment of the stomach of ruminants),
abomasum,C2,the fourth compartment of the stomach of a ruminant; the one where digestion takes place,fourth_stomach
abominable,C2,unequivocally detestable; ; ; ; - Edmund Burke,"detestable, unspeakable, painful, atrocious, odious"
abominably,C2,in an offensive and hateful manner,"terribly, awfully, abysmally, repulsively, odiously"
abominate,C2,find repugnant,"execrate, abhor, loathe"
abominated,C2,find repugnant,"abominate, execrate, abhor, loathe"
abominates,C2,find repugnant,"abominate, execrate, abhor, loathe"
abomination,C2,a person who is loathsome or disgusting,"abhorrence, execration, odium, loathing, detestation"
abominations,C2,a person who is loathsome or disgusting,"abhorrence, execration, loathing, odium, detestation"
abondance,C2,,
aboon,C2,,
aboral,C2,opposite to or away from the mouth,
aborally,C2,,
abord,C2,,
aboriginal,B2,a dark-skinned member of a race of people living in Australia when Europeans arrived,"indigen, native_Australian, indigene, Aborigine, Australian_Aborigine"
aboriginality,C2,,
aboriginally,C2,,
aboriginals,B2,a dark-skinned member of a race of people living in Australia when Europeans arrived,"indigen, native_Australian, Aboriginal, indigene, Aborigine"
aborigine,B1,an indigenous person who was born in a particular place,"indigen, native_Australian, Aboriginal, indigene, Australian_Aborigine"
aborigines,B1,an indigenous person who was born in a particular place,"indigen, native_Australian, Aboriginal, indigene, Aborigine"
aborning,C2,,
abort,C2,the act of terminating a project or procedure before it is completed,
aborted,C2,terminate before completion,abort
aborters,C2,,
abortifacient,C2,a drug (or other chemical agent) that causes abortion,"abortion-inducing_drug, aborticide"
aborting,C2,terminate before completion,abort
abortion,C1,termination of pregnancy,miscarriage
abortionist,C2,a person (who should be a doctor) who terminates pregnancies,
abortionists,C2,a person (who should be a doctor) who terminates pregnancies,abortionist
abortions,B2,termination of pregnancy,"miscarriage, abortion"
abortive,C2,failing to accomplish an intended result,"unsuccessful, stillborn"
abortively,C2,in an unfruitful manner,
aborts,C2,the act of terminating a project or procedure before it is completed,abort
abortus,C2,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body,
abortuses,C2,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body,abortus
abos,C2,a dark-skinned member of a race of people living in Australia when Europeans arrived,"native_Australian, Aboriginal, Aborigine, Australian_Aborigine, Abo"
abound,C2,be abundant or plentiful; exist in large quantities,"bristle, burst"
abounded,C2,be abundant or plentiful; exist in large quantities,"abound, bristle, burst"
abounding,C2,be abundant or plentiful; exist in large quantities,"abound, galore, bristle, burst"
abounds,C2,be abundant or plentiful; exist in large quantities,"abound, bristle, burst"
about,A1,on the move,"roughly, more_or_less, or_so, approximately, around"
abouts,A1,,
above,A2,an earlier section of a written text,supra
aboveboard,C2,without concealment or deception; honest,"straightforward, honestly"
aboveground,C2,on or above the surface of the ground,
abovementioned,C2,,
abovesaid,C2,,
abox,C2,,
abp,C2,,
abr,C2,,
abra,C2,,
abracadabra,C2,gibberish and nonsense,
abradant,C2,a substance that abrades or wears down,"abrader, abrasive_material, abrasive"
abrade,C2,wear away,"rub_down, scour, abrase, corrade, rub_off"
abraded,C2,wear away,"rub_down, scour, abrase, corrade, rub_off"
abrader,C2,a tool or machine used for wearing down or smoothing or polishing,abradant
abraders,C2,a tool or machine used for wearing down or smoothing or polishing,"abradant, abrader"
abrades,C2,wear away,"rub_down, scour, abrase, corrade, rub_off"
abrading,C2,wear away,"rub_down, scour, abrase, corrade, rub_off"
abraham,B2,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son",Ibrahim
abrahamic,B2,,
abrahams,B2,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son","Ibrahim, Abraham"
abram,C2,,
abramis,C2,European fishes,genus_Abramis
abrams,C2,,
abramson,C2,,
abrash,C2,,
abrasion,C2,an abraded area where the skin is torn or worn off,"scratch, attrition, grinding, corrasion, detrition"
abrasions,C2,an abraded area where the skin is torn or worn off,"abrasion, attrition, scratch, grinding, corrasion"
abrasive,C2,a substance that abrades or wears down,"abradant, harsh, abrasive_material, scratchy"
abrasively,C2,,
